Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6727041315841003,0.21852161202756318,0.7057831731579834,0.33371865906644876,0.7531948309358475
Random Forest,0.8839436068141766,1.0,0.0006744225257123588,0.0013479359730412806,0.735458944629599
Linear SVM,0.8268455061680047,0.24220963172804533,0.2306525037936267,0.23628983504620432,0.6680043433085571
MLP,0.8244174662228314,0.22450090744101633,0.20856516607654696,0.2162398391748973,0.6328230277842875
