Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6828470726453887,0.22211996535296666,0.6917889057494521,0.3362701307216326,0.7531299495734356
Random Forest,0.810280007832387,0.28991502683363146,0.4371944022930366,0.34863865546218487,0.7444237447872148
Linear SVM,0.679909927550421,0.22101992714806085,0.6956668352722981,0.3354607910890687,0.7531757288467643
Neural Network (MLP),0.8731349128646955,0.39126984126984127,0.16624515258809644,0.2333451662525145,0.723376933048586
